Scientific name,Scientific name modif,English,Chinese,Chinese (Traditional),Czech,Danish,Dutch,Estonian,Finnish,French,French_modif,German,Hungarian,Italian,Japanese,Lithuanian,Norwegian,Polish,Portuguese,Russian,Slovak,Spanish,Swedish
Ptilopsis granti,Ptilopsis granti,Southern White-faced Owl,?????,??????,v?re?ek Grant?v,Kapdv?rghornugle,Zuidelijke Witwangdwergooruil,l?una-savannipäll,kirjonaamapöllönen,Petit-duc de Grant,Petit-duc de Grant,Südbüscheleule,déli pamatos füleskuvik,Assiolo facciabianca meridionale,??????????????,Pietinis baltaveidis apuok?lis,R?d?yeugle,szlarog?ówka po?udniowa,Mocho-de-faces-brancas,????? ????????? ?????,my?iarka sivá,Autillo cariblanco sureño,sydlig gr?uggla
Bubo scandiacus,Bubo scandiacus,Snowy Owl,??,??,sovice sn??ní,Sneugle,Sneeuwuil,lumekakk,tunturipöllö,Harfang des neiges,Harfang des neiges,Schneeeule,hóbagoly,Gufo delle nevi,??????,Baltoji pel?da,Sn?ugle,puchacz ?nie¿ny,Coruja-das-neves,????? ????,bela?a tundrová,Búho nival,fjälluggla
Bubo virginianus,Bubo virginianus,Great Horned Owl,????,???,v?r virginsk?,Amerikansk Stor Hornugle,Amerikaanse Oehoe,ameerika kassikakk,amerikanhuuhkaja,Grand-duc d'Amérique,Grand-duc d'Amérique,Virginiauhu,amerikai uhu,Gufo reale della Virginia,??????????,Virgininis didysis apuokas,Amerikahubro,puchacz wirginijski,Jacurutu,?????????? ?????,v?r bielobrad?,Búho americano,virginiauv
Bubo magellanicus,Bubo magellanicus,Lesser Horned Owl,???,???,v?r magellansk?,Magellanhornugle,Magelhaenoehoe,andi kassikakk,0,Grand-duc de Magellan,Grand-duc de Magellan,Magellanuhu,Magellán-uhu,Gufo reale di Magellano,??????????,Magelaninis didysis apuokas,Chilehubro,puchacz magella?ski,0,????? ??????????,v?r ro?kat?,Búho magallánico,magellanuv
Bubo bubo,Bubo bubo,Eurasian Eagle-Owl,??,??,v?r velk?,Stor Hornugle,Oehoe,kassikakk,huuhkaja,Grand-duc d'Europe,Grand-duc d'Europe,Uhu,uhu,Gufo reale,??????,"Paprastasis didysis apuokas, didysis apuokas",Hubro,puchacz (zwyczajny),Bufo-real,?????,v?r skaln?,Búho real,berguv
Bubo bengalensis,Bubo bengalensis,Indian Eagle-Owl,????,???,v?r bengálsk?,Bengalhornugle,Bengaalse Oehoe,india kassikakk,0,Grand-duc indien,Grand-duc indien,Bengalenuhu,bengál uhu,Gufo reale di roccia,?????????,Bengalinis didysis apuokas,Bengalhubro,puchacz indyjski,Bufo-de-bengala,??????????? ?????,v?r brahmansk?,Búho bengalí,klippuv
Bubo ascalaphus,Bubo ascalaphus,Pharaoh Eagle-Owl,????,????,v?r bled?,?rkenhornugle,Woestijnoehoe,liiv-kassikakk,aavikkohuuhkaja,Grand-duc ascalaphe,Grand-duc ascalaphe,Wüstenuhu,egyiptomi uhu,Gufo reale del deserto,????????????,Dykuminis disysis apuokas,?rkenhubro,puchacz pustynny,Bufo-oriental,????? ????????,v?r pú??ov?,Búho desértico,ökenuv
Bubo capensis,Bubo capensis,Cape Eagle-Owl,????,????,v?r kapsk?,Kaphornugle,Kaapse Oehoe,damaani-kassikakk,afrikanhuuhkaja,Grand-duc du Cap,Grand-duc du Cap,Kapuhu,fokföldi uhu,Gufo reale del Capo,????????,Kapinis didysis apuokas,Kopjehubro,puchacz przyl?dkowy,Bufo-do-cabo,??????? ?????,v?r ?kvrnit?,Búho de El Cabo,kapuv
Bubo africanus,Bubo africanus,Spotted Eagle-Owl,???,????,v?r africk?,Plettet Hornugle,Afrikaanse Oehoe,savanni-kassikakk,täplähuuhkaja,Grand-duc africain,Grand-duc africain,Fleckenuhu,afrikai uhu,Gufo reale macchiato,??????????,Afrikinis didysis apuokas,Flekkhubro,puchacz plamisty,Bufo-real-africano,??????????? ?????,v?r africk?,Búho africano,fläckuv
Bubo cinerascens,Bubo cinerascens,Greyish Eagle-Owl,???,???,v?r ?ediv?,Gr? Hornugle,Grijze Oehoe,k?nnu-kassikakk,tuhkahuuhkaja,Grand-duc du Sahel,Grand-duc du Sahel,Grauuhu,cinóbervörös uhu,Gufo reale grigiastro,????????????,Sahelinis didysis apuokas,Sahelhubro,puchacz szary,0,????? ?????,v?r vlnkovan?,Búho ceniciento,gr? fläckuv
Bubo poensis,Bubo poensis,Fraser's Eagle-Owl,????,?????,v?r guinejsk?,Tropisk Hornugle,Kleine Oehoe,mets-kassikakk,pikkuraitahuuhkaja,Grand-duc à aigrettes,Grand-duc à aigrettes,Guineauhu,Fraser-uhu,Gufo reale di Fraser,???????????,Gvin?jinis didysis apuokas,Sm?hubro,puchacz ciemnolicy,Bufo-de-fraser,?????????? ?????,v?r ma?ovan?,Búho de Guinea,guineauv
Bubo vosseleri,Bubo vosseleri,Usambara Eagle-Owl,????,??????,v?r usambarsk?,Tanzaniahornugle,Usambaraoehoe,usambara kassikakk,usambaranhuuhkaja,Grand-duc des Usambara,Grand-duc des Usambara,Usambarauhu,usambarai uhu,Gufo reale degli Usambara,???????????,Tanzaninis didysis apuokas,Usambarahubro,puchacz tanza?ski,0,??????????? ?????,v?r usambarsk?,Búho de Usambara,usambarauv
Bubo nipalensis,Bubo nipalensis,Spot-bellied Eagle-Owl,???,???,v?r nepálsk?,Indisk Stor Hornugle,Bosoehoe,d?ungli-kassikakk,intianhuuhkaja,Grand-duc du Népal,Grand-duc du Népal,Nepaluhu,foltoshasú uhu,Gufo reale panciamacchiata,??????????,Nepalinis didysis apuokas,Skoghubro,puchacz jarz?baty,0,?????????? ?????,v?r ?ltozob?,Búho nepalí,nepaluv
Bubo sumatranus,Bubo sumatranus,Barred Eagle-Owl,????,????,v?r malajsk?,Malajhornugle,Maleise Oehoe,malai kassikakk,sundanhuuhkaja,Grand-duc bruyant,Grand-duc bruyant,Malaienuhu,pamatos uhu,Gufo reale barrato,?????????,Malajinis didysis apuokas,Malayhubro,puchacz malajski,0,????????? ?????,v?r ve?kouch?,Búho malayo,malackauv
Bubo shelleyi,Bubo shelleyi,Shelley's Eagle-Owl,????,????,v?r Shelley?v,Regnskovshornugle,Shelleys Oehoe,vööt-kassikakk,raitahuuhkaja,Grand-duc de Shelley,Grand-duc de Shelley,Bindenuhu,Shelley-uhu,Gufo reale di Shelley,??????????,Dry?asis didysis apuokas,Herkuleshubro,puchacz pr?¿kowany,0,????????? ?????,v?r tmav?,Búho barrado,hökuv
Bubo lacteus,Bubo lacteus,Verreaux's Eagle-Owl,???,?????,v?r b?lav?,Savannehornugle,Verreaux' Oehoe,hall-kassikakk,savannihuuhkaja,Grand-duc de Verreaux,Grand-duc de Verreaux,Blassuhu,Verreaux-uhu,Gufo reale di Verreaux,????????,Bly?kusis didysis apuokas,Gr?hubro,puchacz mleczny,Bufo-leitoso,??????? ?????,v?r belav?,Búho lechoso,mjölkuv
Bubo coromandus,Bubo coromandus,Dusky Eagle-Owl,???,???,v?r koromandelsk?,M?rk Hornugle,Coromandeloehoe,tuhk-kassikakk,harmaahuuhkaja,Grand-duc de Coromandel,Grand-duc de Coromandel,Koromandeluhu,koromandel uhu,Gufo reale fosco,??????????,Peleninis didysis apuokas,Braminhubro,puchacz brunatny,0,??????????????? ?????,v?r brvnatoprst?,Búho de Coromandel,gr?uv
Bubo leucostictus,Bubo leucostictus,Akun Eagle-Owl,????,????,v?r b?loper?,Akunhornugle,Akoenoehoe,tsikaadi-kassikakk,hyönteishuuhkaja,Grand-duc tacheté,Grand-duc tacheté,Schwachschnabeluhu,Akun-uhu,Gufo reale di Akun,?????????,Vakar? Afrikos didysis apuokas,Billehubro,puchacz bia?oplamy,Bufo-malhado,?????????????????? ?????,v?r malozob?,Búho de Akún,akunuv
Bubo philippensis,Bubo philippensis,Philippine Eagle-Owl,?????,?????,v?r filipínsk?,Filippinsk Hornugle,Filippijnse Oehoe,filipiini kassikakk,filippiinienhuuhkaja,Grand-duc des Philippines,Grand-duc des Philippines,Streifenuhu,fülöp-szigeteki uhu,Gufo reale delle Filippine,???????????,Filipininis didysis apuokas,Rusthubro,puchacz kreskowany,0,???????????? ?????,v?r ?iarkov?,Búho filipino,filippinsk uv
Bubo blakistoni,Bubo blakistoni,Blakiston's Fish Owl,????,????,v?r Blakiston?v,Stor Fiskeugle,Blakistons Visuil,amuuri kakk (amuuri kalakakk),äyriäishuuhkaja,Kétoupa de Blakiston,Kétoupa de Blakiston,Riesenfischuhu,óriás halászbagoly,Gufo pescatore di Blakiston,??????,Didysis apuokas ?uvininkas,Nordfiskeugle,puchacz japo?ski,Bufo-pescador-de-blakistoni,?????? ?????,v?r vodn?,Búho manchú,Blakistons fiskuv
Ketupa zeylonensis,Ketupa zeylonensis,Brown Fish Owl,???,???,ketupa rybí,Brun Fiskeugle,Bruine Visuil,kalakakk,kalahuuhkaja,Kétoupa brun,Kétoupa brun,Fischuhu,indiai halászbagoly,Gufo pescatore bruno,?????????,Rudasis ?uvinis apuokas,Brunfiskeugle,ketupa bosonoga,Bufo-pescador,????? ?????? ?????,ketupa rybárka,Búho pescador de Ceilán,brun fiskuv
Ketupa flavipes,Ketupa flavipes,Tawny Fish Owl,????,???,ketupa ?lutonohá,Gulbenet Fiskeugle,Himalayavisuil,ida-kalakakk,vuorikalahuuhkaja,Kétoupa roux,Kétoupa roux,Himalayafischuhu,himalájai halászbagoly,Gufo pescatore fulvo,??????,Himalajinis ?uvinis apuokas,Rustfiskeugle,ketupa rdzawa,Coruja-pescadora,??????????? ?????? ?????,ketupa hrdzavá,Búho pescador leonado,himalayafiskuv
Ketupa ketupu,Ketupa ketupu,Buffy Fish Owl,????,????,ketupa malajská,Malajfiskeugle,Maleise Visuil,väike-kalakakk,sundankalahuuhkaja,Kétoupa malais,Kétoupa malais,Sundafischuhu,szundai halászbagoly,Gufo pescatore camoscio,?????????,Malajinis ?uvinis apuokas,Malayfiskeugle,ketupa p?owa,0,????????? ?????? ?????,ketupa rie?na,Búho pescador malayo,blek fiskuv
Scotopelia peli,Scotopelia peli,Pel's Fishing Owl,????,????,ketupa Pelova,Pel´s Fiskeugle,Pels Visuil,viir-kalakakk,kalapöllö,Chouette-pêcheuse de Pel,Chouette-pêcheuse de Pel,Bindenfischeule,afrikai halászbagoly,Gufo pescatore di Pel,????????,Dry?oji ?uvin? pel?da,Storflodugle,rybiarka du¿a,Coruj?o-pesqueiro-de-pel,????????? ?????? ????,hlava?a rybárka,Cárabo pescador común,afrikansk fiskuggla
Scotopelia ussheri,Scotopelia ussheri,Rufous Fishing Owl,???,???,ketupa ?ervenavá,R?dbrun Fiskeugle,Rosse Visuil,leet-kalakakk,ghanankalapöllö,Chouette-pêcheuse rousse,Chouette-pêcheuse rousse,Rotrücken-Fischeule,vöröshátú halászbagoly,Gufo pescatore rossiccio,??????????,Rusvoji ?uvin? pel?da,Liberiaflodugle,rybiarka kreskowana,Coruja-pescadora-ruiva,????????????? ?????? ????,hlava?a hrdzavá,Cárabo pescador rojizo,rödbrun fiskuggla
Scotopelia bouvieri,Scotopelia bouvieri,Vermiculated Fishing Owl,????,????,ketupa Bouvierova,Congofiskeugle,Kleine Visuil,kongo kalakakk,viirukalapöllö,Chouette-pêcheuse de Bouvier,Chouette-pêcheuse de Bouvier,Marmorfischeule,márványos halászbagoly,Gufo pescatore vermicolato,????????????,Marmurin? ?uvin? pel?da,Galleriflodugle,rybiarka marmurkowa,Coruj?o-pesqueiro-de-bouvier,????????? ?????? ????,hlava?a ?ltozobá,Cárabo pescador vermiculado,strimmig fiskuggla
Strix seloputo,Strix seloputo,Spotted Wood Owl,????,????,pu?tík te?kovan?,Pagodenatugle,Maleise Bosuil,pargikakk,puistopöllö,Chouette des pagodes,Chouette des pagodes,Pagodenkauz,pettyes bagoly,Allocco delle pagode,?????????,Rusvaveid? pel?da,Gulfjesugle,puszczyk p?owolicy,Coruja-dos-pagodes,???????? ???????,sova pagodová,Cárabo de las pagodas,fläckig skogsuggla
Strix ocellata,Strix ocellata,Mottled Wood Owl,????,????,pu?tík skvrnit?,Vatret Natugle,Indische Bosuil,salukakk,intianpöllö,Chouette ocellée,Chouette ocellée,Mangokauz,mangóbagoly,Allocco ocellato,?????????,Margoji pel?da,Hinduugle,puszczyk falisty,0,???????? ???????,sova hájová,Cárabo ocelado,vattrad skogsuggla
Strix leptogrammica,Strix leptogrammica,Brown Wood Owl,???,???,pu?tík hn?d?,Brun Natugle,Bruine Bosuil,pagukakk,ruskopöllö,Chouette leptogramme,Chouette leptogramme,Malaienkauz,maláj erdeibagoly,Allocco bruno,??????,Malajin? pel?da,Brunlinjeugle,puszczyk brunatny,Coruja-de-madeira-marrom,????????? ???????,sova hnedá,Cárabo oriental,vitbrynad uggla
Strix aluco,Strix aluco,Tawny Owl,???,???,pu?tík obecn?,Natugle,Bosuil,kodukakk,lehtopöllö,Chouette hulotte,Chouette hulotte,Waldkauz,macskabagoly,Allocco,??????,Namin? pel?da,Kattugle,puszczyk (zwyczajny),Coruja-do-mato,????? ???????,sova oby?ajná,Cárabo común,kattuggla
Strix nivicolum,Strix nivicolum,Himalayan Owl,??????,??????,0,0,Kleine Himalayabosuil,0,0,Chouette des neiges,Chouette des neiges,Himalajakauz,0,0,0,0,Orientkattugle,puszczyk le?ny,0,0,sova horská,Cárabo del Himalaya,orientkattuggla
Strix butleri,Strix butleri,Hume's Owl,???,???,pu?tík arabsk?,?rkennatugle,Palestijnse Bosuil,k?rbekakk,aavikkopöllö,Chouette de Butler,Chouette de Butler,Fahlkauz,sivatagi bagoly,Allocco di Hume,??????????,Uolin? pel?da,Klippeugle,puszczyk arabski,Coruja da Palestina,??????? ???????,sova svetlá,Cárabo árabe,klippuggla
Strix occidentalis,Strix occidentalis,Spotted Owl,???,?????,pu?tík západní,Plettet Natugle,Gevlekte Bosuil,tähnikkakk,täpläpöllö,Chouette tachetée,Chouette tachetée,Fleckenkauz,nyugati erdeibagoly,Allocco macchiato,??????????,D?m?toji pel?da,Flekkugle,puszczyk plamisty,Coruja-pintada,????????? ???????,sova ?kvrnitá,Cárabo californiano,fläckuggla
Strix varia,Strix varia,Northern Barred Owl,????,????,pu?tík prou?kovan?,B?ndet Natugle,Gestreepte Bosuil,ameerika metskakk,amerikanviirupöllö,Chouette rayée,Chouette rayée,Streifenkauz,szalagos bagoly,Allocco barrato,????????,Meksikin? pel?da,H?vdingugle,puszczyk kreskowany,Coruja-barrada,??????? ???????,sova pásikavá,Cárabo norteamericano,nordlig kr?suggla
Strix sartorii,Strix sartorii,Mexican Barred Owl,???????,???????,0,0,Mexicaanse Bosuil,0,0,Chouette du Mexique,Chouette du Mexique,0,0,0,0,0,0,puszczyk wielkoplamy,0,????????? ???????,sova ?ltozobá,0,mexikansk kr?suggla
Strix fulvescens,Strix fulvescens,Fulvous Owl,????,????,pu?tík guatemalsk?,Sydlig B?ndet Natugle,Vale Bosuil,mägi-metskakk,meksikonviirupöllö,Chouette fauve,Chouette fauve,Gelbkauz,guatemalai sárga bagoly,Allocco fulvo,????????????,Rusvoji pel?da,Mayaugle,puszczyk p?owy,0,????????????? ????? ???????,sova plavá,Cárabo guatemalteco,mayauggla
Strix hylophila,Strix hylophila,Rusty-barred Owl,????,????,pu?tík brazilsk?,Brasiliansk Natugle,Braziliaanse Bosuil,brasiilia metskakk,brasilianpöllö,Chouette dryade,Chouette dryade,Brasilkauz,brazil erdeibagoly,Allocco barreruggine,??????????,Brazilin? pel?da,Paranáugle,puszczyk brazylijski,Coruja-listrada,??????????? ???????,sova ga?tanová,Cárabo brasileño,rostbandad uggla
Strix chacoensis,Strix chacoensis,Chaco Owl,????,????,pu?tík paraguajsk?,Chaconatugle,Chacobosuil,chaco kakk,raitapöllö,Chouette du Chaco,Chouette du Chaco,Chacokauz,Chaco-bagoly,Allocco del chaco,0,Piet? Amerikos pel?da,Chacougle,puszczyk jarz?baty,0,??????? ????,sova jarabá,Cárabo chaqueño,chacouggla
Strix rufipes,Strix rufipes,Rufous-legged Owl,????,????,pu?tík rezavonoh?,Sepianatugle,Roodpootbosuil,t?iili metskakk,argentiinanpöllö,Chouette masquée,Chouette masquée,Rotfußkauz,vöröslábú bagoly,Allocco zamperossicce,??????????,Rusvakoj? pel?da,Chileugle,puszczyk patago?ski,0,????????? ???????,sova patagónska,Cárabo bataraz,patagonienuggla
Strix uralensis,Strix uralensis,Ural Owl,????,????,pu?tík b?lav?,Slagugle,Oeraluil,händkakk,viirupöllö,Chouette de l'Oural,Chouette de l'Oural,Habichtskauz,uráli bagoly,Allocco degli Urali,????,Uralin? pel?da,Slagugle,puszczyk uralski,Coruja dos Urales,????????????? ???????,sova dlhochvostá,Cárabo uralense,slaguggla
Strix davidi,Strix davidi,Pere David's Owl,????,????,pu?tík David?v,Kinesisk Slagugle,Pater Davids Bosuil,sichuani händkakk,0,Chouette du Sichuan,Chouette du Sichuan,Sichuankauz,szecsuán erdeibagoly,Allocco di Padre David,???????,Si?uanin? pel?da,Sichuanugle,puszczyk chi?ski,0,??????? ??????,sova sivolíca,Cárabo de Sichuán,sichuanuggla
Strix nebulosa,Strix nebulosa,Great Grey Owl,???,???,pu?tík vousat?,Lapugle,Laplanduil,habekakk,lapinpöllö,Chouette lapone,Chouette lapone,Bartkauz,szakállas bagoly,Allocco della Lapponia,????????,Laplandin? pel?da,Lappugle,puszczyk mszarny,Coruja-cinzenta,????????? ???????,sova tmavá,Cárabo lapón,lappuggla
Strix woodfordii,Strix woodfordii,African Wood Owl,????,????,pu?tík africk?,Afrikansk Natugle,Afrikaanse Bosuil,aafrika metskakk,afrikanpöllö,Chouette africaine,Chouette africaine,Afrikanischer Waldkauz,afrikai erdeibagoly,Allocco africano,??????????,Afrikin? mi?kin? pel?da,Panugle,puszczyk pr?gowany,Coruja-da-floresta,??????????? ???????,sova pruhovaná,Cárabo africano,afrikansk skogsuggla
Strix virgata,Strix virgata,Mottled Owl,???,???,pu?tík prom?nliv?,Sp?ttet Natugle,Bonte Bosuil,välukakk,viirumetsäpöllö,Chouette mouchetée,Chouette mouchetée,Sprenkelkauz,pettyegetett bagoly,Allocco maculato,??????????,Rusvapilv? pel?da,Demonugle,d¿unglarka pstra,Coruja-do-mato / Coruja-de-bigodes,????????? ???????,sova ?iarková,Cárabo café,brunstrimmig uggla
Strix albitarsis,Strix albitarsis,Rufous-banded Owl,????,????,pu?tík b?lonoh?,Okkerstribet Natugle,Witbroekbosuil,andi metskakk,andienmetsäpöllö,Chouette fasciée,Chouette fasciée,Rötelkauz,0,Allocco banderossicce,??????????,Rudadry?? pel?da,Brynjeugle,d¿unglarka tygrysia,0,????????????? ???????,sova hrdzavá,Cárabo patiblanco,brunbandad uggla
Strix nigrolineata,Strix nigrolineata,Black-and-white Owl,????,????,pu?tík ?ernobíl?,Sorthvid Natugle,Zwart-witte Bosuil,karbuskakk,sepelmetsäpöllö,Chouette à lignes noires,Chouette à lignes noires,Bindenhalskauz,zebrabagoly,Allocco bianconero,??????????,Ker?oji pel?da,Sotugle,d¿unglarka czarnolica,0,?????-????? ???????,sova ?iernohlavá,Cárabo blanquinegro,svartvit uggla
Strix huhula,Strix huhula,Black-banded Owl,????,????,pu?tík ?ernopás?,Sortb?ndet Natugle,Zwartgestreepte Bosuil,selvakakk,raitametsäpöllö,Chouette huhul,Chouette huhul,Zebrakauz,zebracsíkos erdeibagoly,Allocco zebrato,??????????,Juodraib? pel?da,Gitterugle,d¿unglarka zebrowana,Coruja-preta,???????? ???????,sova ?ierna,Cárabo negro,svartbandad uggla
Jubula lettii,Jubula lettii,Maned Owl,??,??,v??ík Letti?v,Mankeugle,Manenuil,kroonkakk,harjapöllö,Duc à crinière,Duc à crinière,Mähneneule,sörényes bagoly,Gufo crinito,??????,Afrikin? kuoduotoji pel?da,Mankeugle,puchaczyk grzywiasty,0,??????????? ??????? ???????,sova hrivnatá,Búho de crin,plymuggla
Lophostrix cristata,Lophostrix cristata,Crested Owl,??,??,v??ík u?at?,Langhornet Ugle,Kuifuil,tuttkakk,töyhtöpöllö,Duc à aigrettes,Duc à aigrettes,Haubenkauz,kontyos bagoly,Gufo crestato,??????,Kuoduotoji pel?da,Hvittoppugle,puchaczyk czubaty,Coruja-de-crista,??????? ???????,sova ve?kobrvá,Búho corniblanco,tofsuggla
Pulsatrix perspicillata,Pulsatrix perspicillata,Spectacled Owl,???,???,pu?tík br?lat?,Brilleugle,Briluil,suur-prillkakk,kultapöllö,Chouette à lunettes,Chouette à lunettes,Brillenkauz,pápaszemes bagoly,Gufo dagli occhiali,???????,Akiniuotoji neotropin? pel?da,Brilleugle,puchaczyk ¿ó?tobrzuchy,Murucututu,??????? ?????????????? ????,sova okuliarnatá,Lechuzón de anteojos,glasögonuggla
Pulsatrix koeniswaldiana,Pulsatrix koeniswaldiana,Tawny-browed Owl,?????,?????,pu?tík bronzov?,Okkerbrynet Brilleugle,Geelmaskeruil,väike-prillkakk,kultakulmapöllö,Chouette à sourcils jaunes,Chouette à sourcils jaunes,Gelbbrauenkauz,sárgásbarna bagoly,Gufo cigliafulve,??????????,Baltagurkl? neotropin? pel?da,Gulbrynugle,puchaczyk obro¿ny,Murucututu-de-barriga-amarela,?????????? ?????????????? ????,sova kolohrivá,Lechuzón acollarado chico,beigebrynad glasögonuggla
Pulsatrix melanota,Pulsatrix melanota,Band-bellied Owl,?????,?????,pu?tík na?ernal?,Harlekinbrilleugle,Gestreepte Maskeruil,vööt-prillkakk,perunkultapöllö,Chouette à collier,Chouette à collier,Bindenkauz,nyakkend?s bagoly,Gufo panciabarrata,???????????,Dry?apilv? neotropin? pel?da,Rustkinnugle,puchaczyk maskowy,Murucututu-de-barriga-listrada,??????????? ?????????????? ????,sova pestropása,Lechuzón acollarado grande,rostbandad glasögonuggla
Surnia ulula,Surnia ulula,Northern Hawk-Owl,??,??,sovice krahujová,H?geugle,Sperweruil,vöötkakk,hiiripöllö,Chouette épervière,Chouette épervière,Sperbereule,karvalybagoly,Ulula,???????,Raiboji pel?da,Haukugle,sowa jarz?bata,Mocho-rabilongo,?????????? ????,krahu?a hôrna,Cárabo gavilán,hökuggla
Glaucidium passerinum,Glaucidium passerinum,Eurasian Pygmy Owl,????,????,kulí?ek nejmen?í,Spurveugle,Dwerguil,värbkakk,varpuspöllö,Chevêchette d'Europe,Chevêchette d'Europe,Sperlingskauz,törpekuvik,Civetta nana,???????,Paprastoji ?virblin? pel?da,Spurveugle,sóweczka (zwyczajna),Mocho-an?o,?????????? ?????,kuvi?ok vrab?í,Mochuelo alpino,sparvuggla
Glaucidium brodiei,Glaucidium brodiei,Collared Owlet,???,???????,kulí?ek límcov?,Halsb?ndsspurveugle,Gekraagde Dwerguil,kagu-värbkakk,kaulusvarpuspöllö,Chevêchette à collier,Chevêchette à collier,Wachtelzwergkauz,fürjbagoly,Civettina dal collare,??????,Apykakl?toji ?virblin? pel?da,Janusugle,sóweczka obro¿na,0,??????????? ?????????? ???,kuvi?ok obojkov?,Mochuelo acollarado,orientsparvuggla
Glaucidium perlatum,Glaucidium perlatum,Pearl-spotted Owlet,????,????,kulí?ek perlov?,Plettet Spurveugle,Geparelde Dwerguil,savanni-värbkakk,savannivarpuspöllö,Chevêchette perlée,Chevêchette perlée,Perlzwergkauz,gyöngyös törpekuvik,Civettina perlata,???????????,Perlin? ?virblin? pel?da,Savanneugle,sóweczka sawannowa,Mocho-perlado,????????? ?????????? ???,kuvi?ok perlovan?,Mochuelo perlado,pärlsparvuggla
Glaucidium californicum,Glaucidium californicum,Northern Pygmy Owl,????,???,kulí?ek západní,Troldspurveugle,Noordelijke Dwerguil,lääne-värbkakk,kalifornianvarpuspöllö,Chevêchette des Rocheuses,Chevêchette des Rocheuses,Kalifornienzwergkauz,0,Civettina del Nordamerica,?????????????,?iaurin? ?virblin? pel?da,Tusseugle,sóweczka kalifornijska,Mocho-pigmeu-do-norte,?????????????? ?????????? ???,kuvi?ok hôrny,Mochuelo californiano,trollsparvuggla
Glaucidium gnoma,Glaucidium gnoma,Mountain Pygmy Owl,???,???,kulí?ek americk?,Pygm?spurveugle,Bergdwerguil,mehhiko värbkakk,lännenvarpuspöllö,Chevêchette naine,Chevêchette naine,Gnomenzwergkauz,hegyi törpekuvik,Civettina montana,????????????,Ma?oji ?virblin? pel?da,Gnomugle,sóweczka dwuplamista,Coruja-an?-do-norte,?????????? ???-????,kuvi?ok vtá?iar,Mochuelo gnomo,mexikansk sparvuggla
Glaucidium hoskinsii,Glaucidium hoskinsii,Baja Pygmy Owl,????,????????,kulí?ek kalifornsk?,Bajaspurveugle,Bajadwerguil,hele-värbkakk,0,Chevêchette de Hoskins,Chevêchette de Hoskins,Hoskinszwergkauz,0,Civettina del Capo,??????????,0,Bajaugle,sóweczka p?owa,0,0,kuvi?ok borovicov?,Mochuelo de Hoskins,californiasparvuggla
Glaucidium cobanense,Glaucidium cobanense,Guatemalan Pygmy Owl,??????,??????,kulí?ek guatemalsk?,Guatemalaspurveugle,Guatemalteekse Dwerguil,guatemaala värbkakk,0,Chevêchette du Guatemala,Chevêchette du Guatemala,Guatemalazwergkauz,0,Civettina del Guatemala,????????????,Gvatemalin? ma?oji pel?da,Cobanugle,sóweczka gwatemalska,0,0,kuvi?ok guatemalsk?,Mochuelo guatemalteco,guatemalasparvuggla
Glaucidium costaricanum,Glaucidium costaricanum,Costa Rican Pygmy Owl,???????,???????,kulí?ek kostarick?,Costa Rica-spurveugle,Costaricaanse Dwerguil,kostariika värbkakk,costaricanvarpuspöllö,Chevêchette du Costa Rica,Chevêchette du Costa Rica,Costa-Rica-Zwergkauz,Costa Rica-i törpekuvik,Civettina del Costarica,????????????,Kostarikin? ?virblin? pel?da,Costaricaugle,sóweczka kostaryka?ska,Mocho-pigmeu-do-costa-rica,?????????????? ?????????? ?????,kuvi?ok kostarick?,Mochuelo costarricense,costaricansk sparvuggla
Glaucidium jardinii,Glaucidium jardinii,Andean Pygmy Owl,?????,?????,kulí?ek andsk?,Andesspurveugle,Andesdwerguil,mägi-värbkakk,andienvarpuspöllö,Chevêchette des Andes,Chevêchette des Andes,Andenzwergkauz,andoki törpekuvik,Civettina delle Ande,???????????,Andin? ?virblin? pel?da,Oreadeugle,sóweczka andyjska,Mocho-pigmeu-das-andinas,??????? ?????,kuvi?ok andsk?,Mochuelo andino,andinsk sparvuggla
Glaucidium nubicola,Glaucidium nubicola,Cloud-forest Pygmy Owl,??????,?????,kulí?ek hn?doprs?,Chocóspurveugle,Nevelwouddwerguil,udumetsa-värbkakk,ecuadorinvarpuspöllö,Chevêchette des nuages,Chevêchette des nuages,Nebelzwergkauz,cloud erdei törpekuvik,Civettina nebulosa,0,Ekvadorin? ?virblin? pel?da,Neblinaugle,sóweczka ekwadorska,0,?????? ?????????? ?????,kuvi?ok pralesn?,Mochuelo ecuatoriano,molnskogssparvuggla
Glaucidium bolivianum,Glaucidium bolivianum,Yungas Pygmy Owl,??????,????,kulí?ek bolivijsk?,Yungasspurveugle,Boliviaanse Dwerguil,lepa-värbkakk,bolivianvarpuspöllö,Chevêchette des yungas,Chevêchette des yungas,Bolivienzwergkauz,Yuncas-törpekuvik,Civettina della yungas,???????????,Bolivin??virblin? pel?da,Yungasugle,sóweczka szara,0,??????????? ?????,kuvi?ok bolívijsk?,Mochuelo boliviano,yungassparvuggla
