Scientific name,Scientific name modif,English,Chinese,Chinese (Traditional),Czech,Danish,Dutch,Estonian,Finnish,French,French_modif,German,Hungarian,Italian,Japanese,Lithuanian,Norwegian,Polish,Portuguese,Russian,Slovak,Spanish,Swedish
Corvus moneduloides,Corvus moneduloides,New Caledonian Crow,???,???????,vrána novokaledonská,Ny Caledonisk Krage,Wipsnavelkraai,uuskaledoonia vares,uudenkaledonianvaris,Corbeau calédonien,Corbeau calédonien,Geradschnabelkrähe,új-kaledón varjú,Corvo di New Caledonia,????????,0,Kortnebbkr?ke,wrona brodata,Corvo-da-nova-caledónia,??????????????? ?????,vrana dôvtipná,Cuervo de Nueva Caledonia,Kortnäbbad kr?ka
Corvus unicolor,Corvus unicolor,Banggai Crow,????,???,vrána jednobarvá,Banggaikrage,Banggaikraai,banggai vares,banggainvaris,Corneille des Banggai,Corneille des Banggai,Banggaikrähe,banggai varjú,Corvo di Banggai,???????,0,Banggaikr?ke,wrona jednobarwna,0,?????????? ?????,vrana jednofarebná,Cuervo de las Banggai,Banggaikr?ka
Corvus enca,Corvus enca,Slender-billed Crow,????,??,vrána tenkozobá,Tyndn?bbet Krage,Soendakraai,salenokk-vares,kaitanokkavaris,Corneille à bec fin,Corneille à bec fin,Sundakrähe,szunda-szigeteki varjú,Corvo beccosottile,??????,0,Arkipelkr?ke,wrona cienkodzioba,0,????? ?????,vrana enka,Cuervo Picofino,Sundakr?ka
Corvus violaceus,Corvus violaceus,Violet Crow,???,????,0,Violbl? Krage,Violette Kraai,filipiini vares,0,Corneille violacée,Corneille violacée,0,0,0,0,0,0,wrona fioletowa,0,0,vrana molucká,0,0
Corvus typicus,Corvus typicus,Piping Crow,????,?????,vrána celebeská,Sulawesikrage,Sulawesikraai,sulawesi vares,celebesinvaris,Corneille des Célèbes,Corneille des Célèbes,Celebeskrähe,celebeszi varjú,Corvo fischiatore,???????,0,Sulawesikr?ke,wrona bia?oszyja,0,??????????? ?????,vrana celebeská,Cuervo de Célebes,Sulawesikr?ka
Corvus florensis,Corvus florensis,Flores Crow,????,?????,vrána floreská,Floreskrage,Floreskraai,florese vares,floresinvaris,Corneille de Florès,Corneille de Florès,Floreskrähe,floresi varjú,Corvo di Flores,???????,0,Floreskr?ke,wrona floreska,0,?????????? ?????,vrana floreská,Cuervo de Flores,Floreskr?ka
Corvus kubaryi,Corvus kubaryi,Mariana Crow,????,???,vrána guamská,Marianerkrage,Marianenkraai,mariaani vares,mariaanienvaris,Corneille de Guam,Corneille de Guam,Guamkrähe,guami varjú,Corvo delle Marianne,???????,0,Guamkr?ke,wrona maria?ska,0,???????? ?????,vrana mariánska,Cuervo de las Marianas,Marianerkr?ka
Corvus validus,Corvus validus,Long-billed Crow,????,???,vrána molucká,Langn?bbet Krage,Molukse Kraai,pikknokk-vares,molukkienvaris,Corneille des Moluques,Corneille des Moluques,Molukkenkrähe,malukui varjú,Corvo beccolungo,???????,0,Langnebbkr?ke,wrona d?ugodzioba,0,?????????? ?????,vrana dlhozobá,Cuervo Moluqueño,Moluckerkr?ka
Corvus woodfordi,Corvus woodfordi,White-billed Crow,????,???,vrána b?lozobá,Lysn?bbet Krage,Witsnavelkraai,valgenokk-vares,salomoninvaris,Corneille à bec blanc,Corneille à bec blanc,Buntschnabelkrähe,tarkacs?r? varjú,Corvo beccobianco,???????,0,Salomonkr?ke,wrona jasnodzioba,0,?????????? ?????,vrana bielozobá,Cuervo Piquiblanco,Vitnäbbad kr?ka
Corvus meeki,Corvus meeki,Bougainville Crow,????,?????,vrána ?alomounská,Salomonkrage,Bougainvillekraai,bougainville'i vares,0,Corneille de Meek,Corneille de Meek,Bougainvillekrähe,0,Corvo di Bougainville,?????????,0,Bougainvillekr?ke,wrona melanezyjska,0,0,vrana bly??avá,Cuervo de la Bougainville,Bougainvillekr?ka
Corvus fuscicapillus,Corvus fuscicapillus,Brown-headed Crow,????,???,vrána hn?dohlavá,Brunhovedet Krage,Bruinkopkraai,pruunpea-vares,ruskopäävaris,Corneille à tête brune,Corneille à tête brune,Braunkopfkrähe,tarkafej? varjú,Corvo testabruna,????????,0,Brunhodekr?ke,wrona br?zowog?owa,0,?????????? ?????,vrana hnedohlavá,Cuervo Cabecipardo,Brunhuvad kr?ka
Corvus tristis,Corvus tristis,Grey Crow,???,??,vrána b?lavá,Ny Guinea-r?ge,Maskerkraai,paapua vares,papuanvaris,Corneille grise,Corneille grise,Greisenkrähe,deres varjú,Corvo grigio,???????,0,Papuakr?ke,wrona szara,0,????? ?????,vrana sivá,Cuervo Gris,Papuakr?ka
