








Frequency of observations in the selected location(s).:
Number of taxa: 	321

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Sample Size:	145.0	123.0	100.0	147.0	96.0	116.0	131.0	100.0	120.0	154.0	161.0	161.0	128.0	122.0	98.0	116.0	79.0	119.0	126.0	120.0	77.0	72.0	105.0	162.0	129.0	80.0	89.0	127.0	121.0	135.0	105.0	135.0	107.0	102.0	91.0	147.0	94.0	95.0	90.0	104.0	98.0	88.0	81.0	99.0	87.0	82.0	81.0	129.0	

Ruddy Shelduck (<em class="sci">Tadorna ferruginea</em>)	0.0	0.0	0.0	0.006802721088435374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011235955056179775	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Shelduck (<em class="sci">Tadorna tadorna</em>)	0.11724137931034483	0.10569105691056911	0.09	0.14965986394557823	0.17708333333333334	0.20689655172413793	0.16030534351145037	0.12	0.10833333333333334	0.18181818181818182	0.16149068322981366	0.19254658385093168	0.203125	0.19672131147540983	0.11224489795918367	0.16379310344827586	0.11392405063291139	0.058823529411764705	0.1349206349206349	0.15833333333333333	0.09090909090909091	0.09722222222222222	0.09523809523809523	0.06790123456790123	0.046511627906976744	0.0625	0.033707865168539325	0.047244094488188976	0.04132231404958678	0.05925925925925926	0.0380952380952381	0.014814814814814815	0.037383177570093455	0.029411764705882353	0.02197802197802198	0.006802721088435374	0.02127659574468085	0.010526315789473684	0.044444444444444446	0.019230769230769232	0.04081632653061224	0.056818181818181816	0.024691358024691357	0.04040404040404041	0.08045977011494253	0.06097560975609756	0.024691358024691357	0.09302325581395349	
Muscovy Duck (<em class="sci">Cairina moschata</em>)	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mandarin Duck (<em class="sci">Aix galericulata</em>)	0.041379310344827586	0.0015	0.02	0.006802721088435374	0.010416666666666666	0.04310344827586207	0.061068702290076333	0.03	0.06666666666666667	0.05194805194805195	0.031055900621118012	0.062111801242236024	0.0625	0.06557377049180328	0.061224489795918366	0.04310344827586207	0.10126582278481013	0.07563025210084033	0.09523809523809523	0.03333333333333333	0.07792207792207792	0.041666666666666664	0.047619047619047616	0.043209876543209874	0.015503875968992248	0.0125	0.0449438202247191	0.03937007874015748	0.0	0.05185185185185185	0.02857142857142857	0.037037037037037035	0.009345794392523364	0.029411764705882353	0.03296703296703297	0.02040816326530612	0.02127659574468085	0.042105263157894736	0.011111111111111112	0.019230769230769232	0.04081632653061224	0.011363636363636364	0.037037037037037035	0.0015	0.034482758620689655	0.012195121951219513	0.012345679012345678	0.03875968992248062	
Gadwall (<em class="sci">Anas strepera</em>)	0.3724137931034483	0.5203252032520326	0.37	0.3877551020408163	0.4479166666666667	0.3879310344827586	0.366412213740458	0.43	0.375	0.38311688311688313	0.2670807453416149	0.2919254658385093	0.2734375	0.16393442622950818	0.20408163265306123	0.22413793103448276	0.20253164556962025	0.1092436974789916	0.15873015873015872	0.15	0.2077922077922078	0.16666666666666666	0.11428571428571428	0.06790123456790123	0.05426356589147287	0.0375	0.056179775280898875	0.10236220472440945	0.09090909090909091	0.0962962962962963	0.1523809523809524	0.2074074074074074	0.21495327102803738	0.20588235294117646	0.2857142857142857	0.23129251700680273	0.26595744680851063	0.30526315789473685	0.2222222222222222	0.21153846153846154	0.2653061224489796	0.29545454545454547	0.2345679012345679	0.3434343434343434	0.3448275862068966	0.3780487804878049	0.345679012345679	0.35658914728682173	
Eurasian Wigeon (<em class="sci">Anas penelope</em>)	0.1103448275862069	0.16260162601626016	0.12	0.1360544217687075	0.125	0.07758620689655173	0.11450381679389313	0.05	0.16666666666666666	0.12337662337662338	0.09937888198757763	0.10559006211180125	0.0859375	0.07377049180327869	0.05102040816326531	0.05172413793103448	0.0759493670886076	0.025210084033613446	0.015873015873015872	0.041666666666666664	0.0	0.0	0.009523809523809525	0.0	0.0	0.0125	0.02247191011235955	0.015748031496062992	0.01652892561983471	0.02962962962962963	0.009523809523809525	0.037037037037037035	0.018691588785046728	0.06862745098039216	0.08791208791208792	0.14285714285714285	0.1276595744680851	0.16842105263157894	0.17777777777777778	0.11538461538461539	0.17346938775510204	0.125	0.08641975308641975	0.1111111111111111	0.14942528735632185	0.08536585365853659	0.06172839506172839	0.10077519379844961	
Chiloe Wigeon (<em class="sci">Anas sibilatrix</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008264462809917356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Mallard (<em class="sci">Anas platyrhynchos</em>)	0.503448275862069	0.6910569105691057	0.52	0.6054421768707483	0.5520833333333334	0.6551724137931034	0.6412213740458015	0.68	0.6583333333333333	0.6688311688311688	0.6832298136645962	0.7080745341614907	0.6953125	0.6475409836065574	0.6326530612244898	0.6896551724137931	0.7215189873417721	0.5210084033613446	0.5793650793650794	0.5916666666666667	0.6103896103896104	0.5972222222222222	0.6095238095238096	0.5370370370370371	0.5116279069767442	0.6375	0.5955056179775281	0.6614173228346457	0.5867768595041323	0.6814814814814815	0.5904761904761905	0.6222222222222222	0.5794392523364486	0.6274509803921569	0.6813186813186813	0.5714285714285714	0.7340425531914894	0.7473684210526316	0.5666666666666667	0.5865384615384616	0.7142857142857143	0.6590909090909091	0.6419753086419753	0.6666666666666666	0.6551724137931034	0.6219512195121951	0.5925925925925926	0.5891472868217055	
Mallard (Domestic type) (<em class="sci">Anas platyrhynchos (Domestic type)</em>)	0.14482758620689656	0.1951219512195122	0.13	0.14285714285714285	0.14583333333333334	0.1724137931034483	0.1297709923664122	0.16	0.16666666666666666	0.12337662337662338	0.13664596273291926	0.09316770186335403	0.0390625	0.02459016393442623	0.01020408163265306	0.034482758620689655	0.0379746835443038	0.03361344537815126	0.05555555555555555	0.058333333333333334	0.025974025974025976	0.041666666666666664	0.02857142857142857	0.037037037037037035	0.031007751937984496	0.1	0.0898876404494382	0.07874015748031496	0.10743801652892562	0.1037037037037037	0.09523809523809523	0.08148148148148149	0.11214953271028037	0.08823529411764706	0.15384615384615385	0.10204081632653061	0.09574468085106383	0.17894736842105263	0.1	0.21153846153846154	0.1836734693877551	0.19318181818181818	0.1728395061728395	0.2222222222222222	0.13793103448275862	0.2073170731707317	0.20987654320987653	0.15503875968992248	
Muscovy Duck x Mallard (hybrid) (<em class="sci">Cairina moschata x Anas platyrhynchos</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008333333333333333	0.0	0.0	0.0	0.0	0.00819672131147541	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
