








Frequency of observations in the selected location(s).:
Number of taxa: 	292

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Mallard (Domestic type) (<em class="sci">Anas platyrhynchos (Domestic type)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler (<em class="sci">Anas clypeata</em>)	0.058823529411764705	0.0	0.0	0.0	0.0	0.08695652173913043	0.058823529411764705	0.25	0.10526315789473684	0.0	0.0	0.1111111111111111	0.0	0.07692307692307693	0.1111111111111111	0.058823529411764705	0.14285714285714285	0.05	0.06666666666666667	0.0967741935483871	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.03571428571428571	0.0	0.0	0.07692307692307693	0.125	0.037037037037037035	0.0	0.19230769230769232	0.15384615384615385	0.03571428571428571	0.05555555555555555	0.15	0.15	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0625	
Northern Pintail (<em class="sci">Anas acuta</em>)	0.058823529411764705	0.1	0.1	0.05	0.0	0.043478260869565216	0.0	0.25	0.10526315789473684	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.029411764705882353	0.047619047619047616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037037037037037035	0.0	0.07692307692307693	0.15384615384615385	0.0	0.1111111111111111	0.05	0.05	0.0	0.0	0.0	0.0	0.07142857142857142	0.07142857142857142	0.0	0.05263157894736842	0.0625	
Garganey (<em class="sci">Anas querquedula</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0015	0.0	0.1111111111111111	0.0	0.07692307692307693	0.0	0.11764705882352941	0.0	0.05	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.05263157894736842	0.0	0.15384615384615385	0.125	0.037037037037037035	0.0	0.0	0.15384615384615385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eurasian/American Green-winged Teal (<em class="sci">Anas crecca</em>)	0.11764705882352941	0.1	0.1	0.05	0.0	0.21739130434782608	0.0	0.25	0.15789473684210525	0.0	0.07142857142857142	0.1111111111111111	0.0	0.0	0.1111111111111111	0.0	0.0	0.0	0.0015	0.03225806451612903	0.0	0.07692307692307693	0.0	0.05	0.0	0.0	0.03571428571428571	0.0	0.041666666666666664	0.23076923076923078	0.25	0.1111111111111111	0.10526315789473684	0.19230769230769232	0.38461538461538464	0.07142857142857142	0.2222222222222222	0.15	0.05	0.0	0.0	0.0	0.0	0.21428571428571427	0.21428571428571427	0.0	0.10526315789473684	0.0625	
dabbling duck sp. (<em class="sci">Anas sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	
Red-crested Pochard (<em class="sci">Netta rufina</em>)	0.058823529411764705	0.0015	0.2	0.3	0.3125	0.043478260869565216	0.058823529411764705	0.25	0.3157894736842105	0.42857142857142855	0.5	0.1111111111111111	0.18181818181818182	0.15384615384615385	0.2222222222222222	0.47058823529411764	0.38095238095238093	0.45	0.4666666666666667	0.5161290322580645	0.3333333333333333	0.3076923076923077	0.14285714285714285	0.5	0.2222222222222222	0.18181818181818182	0.10714285714285714	0.05263157894736842	0.08333333333333333	0.0015	0.375	0.07407407407407407	0.15789473684210525	0.23076923076923078	0.3076923076923077	0.17857142857142858	0.3888888888888889	0.15	0.25	0.1875	0.0	0.0	0.0	0.21428571428571427	0.2857142857142857	0.3333333333333333	0.21052631578947367	0.125	
Common Pochard (<em class="sci">Aythya ferina</em>)	0.17647058823529413	0.3	0.5	0.55	0.625	0.391304347826087	0.6470588235294118	0.3333333333333333	0.5263157894736842	0.14285714285714285	0.0	0.1111111111111111	0.09090909090909091	0.15384615384615385	0.0	0.029411764705882353	0.0	0.2	0.06666666666666667	0.16129032258064516	0.0	0.15384615384615385	0.0	0.25	0.0	0.0015	0.0	0.0	0.08333333333333333	0.0	0.25	0.14814814814814814	0.15789473684210525	0.11538461538461539	0.07692307692307693	0.10714285714285714	0.3333333333333333	0.15	0.35	0.3125	0.0	1.0	0.2	0.5714285714285714	0.6428571428571429	0.3333333333333333	0.631578947368421	0.375	
Ferruginous Duck (<em class="sci">Aythya nyroca</em>)	0.0	0.0	0.0	0.05	0.0	0.043478260869565216	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.0625	
Tufted Duck (<em class="sci">Aythya fuligula</em>)	0.23529411764705882	0.5	0.4	0.6	0.75	0.4782608695652174	0.6470588235294118	0.5	0.5789473684210527	0.23809523809523808	0.21428571428571427	0.1111111111111111	0.18181818181818182	0.15384615384615385	0.1111111111111111	0.14705882352941177	0.047619047619047616	0.25	0.2	0.22580645161290322	0.2	0.23076923076923078	0.0	0.25	0.037037037037037035	0.0015	0.0015	0.10526315789473684	0.125	0.07692307692307693	0.125	0.25925925925925924	0.15789473684210525	0.23076923076923078	0.15384615384615385	0.14285714285714285	0.3333333333333333	0.2	0.3	0.375	0.0	1.0	0.3	0.5	0.6428571428571429	0.3333333333333333	0.5789473684210527	0.375	
